
Month,New England cents per kilowatthour,Middle Atlantic cents per kilowatthour,East North Central cents per kilowatthour,West North Central cents per kilowatthour,South Atlantic cents per kilowatthour,East South Central cents per kilowatthour,West South Central cents per kilowatthour,Mountain cents per kilowatthour,Pacific Contiguous cents per kilowatthour,Pacific Noncontiguous cents per kilowatthour
Jun 2023,15.21,7.95,8.01,8.53,7.54,6.88,6.52,8.12,13.39,29.55
May 2023,15.19,7.86,7.95,7.37,7.26,6.72,6.02,7.31,12.37,31.06
Apr 2023,15.2,7.88,7.96,7.33,7.32,6.39,5.81,7.43,11.52,31.42
Mar 2023,16.05,7.97,8.21,7.32,7.41,6.66,6.43,7.44,11.96,32.23
Feb 2023,16.2,8.35,8.41,7.41,7.75,7.22,6.81,7.46,11.46,32.78
Jan 2023,16.38,8.58,8.38,7.43,7.94,7.08,6.92,8.07,11.9,33.32
Dec 2022,16.38,8.88,8.46,7.33,8.36,7.52,7.38,8.61,12.43,33.35
Nov 2022,14.77,8.17,8.35,7.42,7.81,7.65,7.3,7.47,11.87,32.44
Oct 2022,14.95,8.32,8.69,7.62,7.99,7.42,7.43,7.56,13.54,33.72
Sep 2022,15.83,9.11,8.79,8.55,8.77,8.07,7.82,8.72,14.31,32.86
Aug 2022,16.16,9.57,9.15,8.76,9.37,8.85,7.97,8.41,14.17,32.78
Jul 2022,15.79,9.22,9.02,8.77,9.16,8.28,8.47,8.14,14,33.16
Jun 2022,15.67,8.76,8.92,8.78,9.05,8.02,7.55,7.68,12.75,32.17
May 2022,15.04,8.27,8.62,7.72,7.91,7.2,7.57,7.11,11.78,31.46
Apr 2022,14.77,7.82,8.08,7.43,7.27,6.83,6.68,6.98,11.3,29.63
Mar 2022,14.83,7.69,7.72,7.12,7,6.16,6.32,6.63,10.97,28.67
Feb 2022,15.27,7.98,7.85,7.25,6.87,6.26,6.29,6.59,10.22,27.63
Jan 2022,15.27,7.96,7.62,7.13,6.68,6.63,5.98,6.5,9.86,27.89
Dec 2021,13.47,7.18,7.5,6.95,6.72,5.88,5.8,6.34,9.87,26.57
Nov 2021,13.41,7.47,7.79,7.08,6.71,6.45,6.18,6.46,10.68,25.14
Oct 2021,13.08,7.25,7.68,7.15,6.79,6.22,6.22,6.63,11.66,25.35
Sep 2021,13.05,7.11,7.45,7.98,7,6.19,6.19,7.27,12.33,25.22
Aug 2021,12.71,7.08,7.33,7.97,6.96,6.2,6.08,7.32,12.12,24.28
Jul 2021,12.86,7,7.3,8.02,6.81,6.22,5.57,7.43,12.34,24.18
Jun 2021,12.65,6.83,7.17,8.01,6.37,5.97,5.59,7.09,11.44,23.89
May 2021,12.06,6.48,6.85,6.86,6.19,5.67,5.03,6.43,10.1,22.8
Apr 2021,11.91,6.36,6.74,7,5.97,5.75,5.97,6.19,9.54,22.97
Mar 2021,12.75,6.49,6.83,6.71,6.05,5.58,7.17,6.24,9.57,23.53
Feb 2021,13.23,6.74,7.35,7.69,6.44,6.07,9.42,6.5,9.55,23.68
Jan 2021,12.42,6.34,6.59,6.54,5.89,5.42,4.97,5.88,9.22,22.39
Dec 2020,12.72,6.34,6.76,6.41,6.37,5.41,4.93,5.84,9.39,20.78
Nov 2020,12.56,6.28,6.69,6.53,6,5.58,4.97,5.96,10.5,21.31
Oct 2020,12.52,6.26,6.77,6.72,6.18,5.56,5.16,6.16,11.51,21.18
Sep 2020,12.81,6.4,6.8,7.5,6.6,5.64,5.14,6.79,12,22.11
Aug 2020,13.04,6.42,6.83,7.78,6.44,5.73,5.3,7.08,11.68,21.08
Jul 2020,13.09,6.49,6.99,7.98,6.7,5.74,5.18,6.93,11.96,21.07
Jun 2020,12.83,6.42,6.98,7.59,6.38,5.63,5.07,6.62,11.42,20.88
May 2020,13.04,6.37,6.83,7.1,5.9,5.47,4.96,6.15,9.72,21.87
Apr 2020,12.87,6.34,6.8,6.94,6.24,5.44,4.89,5.79,8.56,23.3
Mar 2020,12.85,6.3,6.53,7.03,5.98,5.4,5.06,5.8,8.88,23.2
Feb 2020,13.09,6.48,6.69,6.86,6.14,5.49,5.08,5.82,8.58,23.83
Jan 2020,13.21,6.42,6.65,6.72,6.05,5.51,4.94,5.74,8.47,23.56
Dec 2019,13.06,6.44,6.61,6.64,6.14,5.43,4.97,5.78,8.76,23.34
Nov 2019,13.18,6.4,6.82,6.74,6.4,5.83,5.44,5.94,9.99,22.78
Oct 2019,12.51,6.45,6.89,6.97,6.42,5.57,5.47,6.14,10.78,22.97
Sep 2019,12.93,6.48,6.74,7.78,6.72,5.97,5.64,6.68,10.94,23.26
Aug 2019,12.72,6.65,6.87,8.06,6.9,5.89,6.67,6.97,11.01,22.78
Jul 2019,12.77,6.57,6.94,8.02,6.96,6,5.43,6.81,10.78,23.6
Jun 2019,13.16,6.38,6.89,7.83,6.6,5.81,5.2,6.69,10.24,23.67
May 2019,12.59,6.67,6.85,7.07,6.41,5.8,5.29,6.15,9.21,23.86
Apr 2019,13.19,6.58,7.02,6.79,6.19,5.71,5.13,6.01,8.1,24.39
Mar 2019,13.45,6.68,7.1,7.23,6.44,5.67,5.37,6.27,8.5,23.8
Feb 2019,14.07,6.74,7.14,7.16,6.35,5.72,5.16,6.37,8.7,23.71
Jan 2019,13.43,6.82,7.06,6.78,6.32,5.73,5.17,5.89,8.1,24.1
Dec 2018,13.6,6.78,7.24,6.74,6.33,5.87,5.1,5.97,8.6,25.1
Nov 2018,13.05,6.81,7.1,6.86,6.7,5.96,5.33,5.95,9.66,24.02
Oct 2018,12.91,6.89,7.12,6.96,6.26,5.73,5.22,6.35,10.46,23.65
Sep 2018,13.13,6.85,7.02,7.7,6.69,5.92,5.24,6.71,10.8,23.26
Aug 2018,13.02,6.93,7.06,7.92,6.49,5.9,5.64,7.17,11.14,24.01
Jul 2018,13.12,6.96,7.14,8.17,6.77,5.92,5.92,7.03,10.74,24.83
Jun 2018,13.19,6.93,7.07,7.91,6.67,6.11,5.62,6.9,10.47,23.75
May 2018,12.7,6.93,7.04,7.18,6.29,5.89,5.38,6.47,9.06,23.36
Apr 2018,12.97,6.69,7.02,6.74,6.33,5.67,5.17,6.1,8.27,23.15
Mar 2018,13.04,6.63,6.93,6.98,6.26,5.62,5.29,6.16,8.62,23.24
Feb 2018,13.98,7.42,7.11,7.05,6.44,5.7,5.34,6.2,8.41,22.44
Jan 2018,13.74,7.7,7.4,6.87,7,5.83,5.49,6.06,8.3,22.68
